Nr.,Autorius,Pavadinimas,Originalo pavadinimas,Kalba,Leidykla,Metai,Žanras,Serija,Puslapiai,ISBN,Lentynos vieta,Pastabos,Teminė linija,Subgrupė,ID,Statusas,Dabartinis laikytojas,Būklė,Kaina (EUR),Įsigijimo data,Įsigijimo šaltinis,Tiražas,Originalo metai,Foto,Atnaujinta,Kas atnaujino,Patalpa,Lentyna
1363.0,Sud. Brian MacArthur,The Penguin Book of Historic Speeches,,Anglų,Penguin,1996.0,Istorija / kalbos,,,140176195.0,"Spinta J, 8 niša (klasika)",sudarė Brian MacArthur,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01373,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,45.0
1365.0,V. Hugo,Rinktinė,,Lietuvių,,,Klasika,,,,"Spinta J, 8 niša (klasika)",PATIKSLINTI pavadinimą (siauras tomas prie Bičer-Stou),A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K01375,Lentynoje,,,,,,,,,,,,
1366.0,Zygmunt Bauman; Leonidas Donskis,Takusis blogis,Liquid Evil,Lietuvių,Versus aureus,2017.0,Sociologija / filosofija,,,9789955346616.0,"Spinta J, 9 niša (sociologija, filosofija)",Apostrofa,"D25. Sociologija, semiotika, antropologija",,K01376,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,46.0
1367.0,Margaret Mead,Anthropologists and What They Do,,Anglų,F. Watts,1965.0,Antropologija,,,,"Spinta J, 9 niša (sociologija, filosofija)",PATIKSLINTI autorių (galimai Mead),"D25. Sociologija, semiotika, antropologija",,K01377,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,46.0
1368.0,Zygmunt Bauman; Ezio Mauro,Babel,,Anglų,Polity,2016.0,Sociologija,,,9781509507597.0,"Spinta J, 9 niša (sociologija, filosofija)",Polity · angliškas leidimas; itališkas originalas 2015 (Laterza),"D25. Sociologija, semiotika, antropologija",,K01378,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,46.0
1369.0,Niall Ferguson,Doom: The Politics of Catastrophe,,Anglų,Penguin,,Istorija / politika,,,,"Spinta J, 9 niša (sociologija, filosofija)",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01379,Lentynoje,,,,,,,,,,,,
1370.0,Umberto Eco,Rinktinė (ALK leidimas),,Lietuvių,ALK,,Esė / semiotika,,,,"Spinta J, 9 niša (sociologija, filosofija)",PATIKSLINTI pavadinimą,B9. Šiuolaikinė pasaulio proza,Šiuolaikinis pasaulio romanas,K01380,Lentynoje,,,,,,,,,,,,
1371.0,Jean Baudrillard,Screened Out,,Anglų,Verso,2002.0,Filosofija / medijos,,,1859846602.0,"Spinta J, 9 niša (sociologija, filosofija)",Verso · pirmojo leidimo duomenys; namų egzemplioriaus leidimas nepatikslintas,"D25. Sociologija, semiotika, antropologija",,K01381,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,46.0
1372.0,P. D. Ouspensky,The Fourth Way,,Anglų,Vintage,,Ezoterika / filosofija,,,,"Spinta J, 9 niša (sociologija, filosofija)",Vintage · daug leidimų (pirmas 1957 m.) — konkretus nenustatytas,D22. Rytų praktikos ir ezoterika,Ezoterika ir praktikos,K01382,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,46.0
1373.0,Dalia Zabielaitė,Nuo Prousto iki Beigbederio,,Lietuvių,,,Literatūrologija,,,,"Spinta J, 9 niša (sociologija, filosofija)",PATIKSLINTI autorių,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K01383,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,46.0
1374.0,Gerardo Bartolomé,Darwin's Betrayal,,Anglų,,,Istorinis romanas,,,,"Spinta J, 9 niša (sociologija, filosofija)",patikimo leidimo įrašo rasti nepavyko,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K01384,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,46.0
1375.0,,Sodininkystės knygų kolekcija (~22 tomai),,Lietuvių / anglų / rusų,"DK, RHS, Reader's Digest ir kt.",,Sodininkystė,,,,"Spinta J, 10 niša (sodininkystė, mišri)","„Mano žolelių darželis“, „Balkonai ir terasos“ (U. Braun-Bernhart), „Buksmedis“, „Uksminigi sodai“, „Alergijos nesukeliantis sodas“ (2 t.), „Mažasis sodas“, „How to Garden: Growing Roses“ (A. Titchmarsh), „RHS Plants for Shade“, „RHS Clematis and Climbers“, „О 100 лучших садовых цветах“, „Палитра сада“ (Сью Фишер), „Дизайн вашего сада“, „Naujasis kambarinių augalų priežiūros vadovas“, „Propagating Plants“ (DK), „Gėlių knyga“ (H. Heitz), „Lengvai prižiūrimas sodas“ (Reader's Digest), „Vasarą žydinčių gėlių enciklopedija“ (N. Vermeulen), „Vaistinė jūsų virtuvėje“, „Цветники“ (Т. Койсман), „Обрезка растений“ ir kt.",H45. Sodininkystė ir augalai,,K01385,Lentynoje,,,,,,,,,,,,
1376.0,Aurelijus Augustinas,Išpažinimai,Confessiones,Lietuvių,,,Filosofija / teologija,,,,"Spinta J, 10 niša (sodininkystė, mišri)",Lietuviškas leidimas (rusiškas — Nr. 241),D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra ★ pora: originalas + vertimas,K01386,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1378.0,Stasys Samalavičius,Rinktinė (IV tomas),,Lietuvių,Briedis (?),,Istorija,,,,"Spinta J, 10 niša (sodininkystė, mišri)",PATIKSLINTI,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01388,Lentynoje,,,,,,,,,,,,
1379.0,Сью Филлер,Палитра сада (?),,Rusų,,,Sodininkystė,,,,"Spinta J, 10 niša (sodininkystė, mišri)",PATIKSLINTI,H45. Sodininkystė ir augalai,,K01389,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,54.0
1380.0,,Doktor Faust und andere Teufelsbündner,,Vokiečių,,,Klasika / legendos,,,,"Spinta J, 11 niša (senoji klasika, vokiečių)","gotiškas šriftas, autoriaus ant nugarėlės nėra · leidinio identifikuoti nepavyko",A5. Vokiškoji lentyna (originalo k.),,K01390,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,43.0
1381.0,,Border Ballads,,Anglų,,,Poezija / baladės,,,,"Spinta J, 11 niša (senoji klasika, vokiečių)","senas auksuotas įrišimas · keli skirtingi leidiniai tokiu pavadinimu (James Reed 1973, Swinburne ir kt.) — konkretus nenustatytas",A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K01391,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,43.0
1382.0,R. B. Parkinson,The Tale of Sinuhe and Other Ancient Egyptian Poems 1940–1640 BC,,Anglų,Oxford University Press,1997.0,Antikos literatūra,Oxford World's Classics,,198149638.0,"Spinta J, 11 niša (senoji klasika, vokiečių)","Oxford · keli leidimai (1997, 1999, 2009 Oxford World's Classics)",A1. Antikos literatūra ir istorikai,,K01392,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,43.0
1383.0,Konfucijus,Rinktinė (mažas tomelis),,Lietuvių,,,Filosofija,,,,"Spinta J, 11 niša (senoji klasika, vokiečių)",PATIKSLINTI (gali sutapti su Nr. 191),D22. Rytų praktikos ir ezoterika,Dzen ir Rytų klasika ★ pora: originalas + vertimas,K01393,Lentynoje,,,,,,,,,,,,
1384.0,Thomas Bulfinch,Legends of Charlemagne,,Anglų,,,Legendos / mitologija,,,,"Spinta J, 11 niša (senoji klasika, vokiečių)",daug leidimų (pirmas 1863 m.) — konkretus nenustatytas,D24. Mitologija ir tautosaka,,K01394,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,43.0
1385.0,Sofoklis,Tragedijos,,Lietuvių,Vaga,1984.0,Dramaturgija,,,,"Spinta J, 11 niša (senoji klasika, vokiečių)",I tomas · keli lietuviški leidimai; ISBN nesuteiktas,A1. Antikos literatūra ir istorikai,,K01395,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,43.0
1386.0,Friedrich Hölderlin,Gedichte. Hyperion. Briefe,,Vokiečių,BDW,,Poezija / proza,,,,"Spinta J, 11 niša (senoji klasika, vokiečių)",BDW · daug vokiškų rinktinių — konkretus nenustatytas,A5. Vokiškoji lentyna (originalo k.),,K01396,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,43.0
1387.0,Friedrich Hölderlin,Hyperion / Empedokles,,Vokiečių,Reclam,,Proza / drama,Universal-Bibliothek,,,"Spinta J, 11 niša (senoji klasika, vokiečių)",Nr. 559,A5. Vokiškoji lentyna (originalo k.),,K01397,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,43.0
1389.0,,,,,,,,,,,"Spinta J, 11 niša (senoji klasika, vokiečių)","PATIKSLINTI: dar keli smulkūs tomeliai (V. Hugo, Emily Brontë (?), žali/mėlyni) — nugarėlės iš dalies matomos","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K01399,Lentynoje,,,,,,,,,,,,
1394.0,Kelly Grovier,A New Way of Seeing,,Anglų,Thames & Hudson,,Menotyra,,,,"Spinta J, 12 niša (dailės albumai)",patikimo leidimo įrašo rasti nepavyko,"H48. Menas, kalbos, pomėgiai",Pasaulio dailės albumai,K01404,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,44.0
1395.0,Walter Isaacson,Leonardo da Vinci,,Anglų,Simon & Schuster,2017.0,Biografija,,,9781501139154.0,"Spinta J, 12 niša (dailės albumai)",pirmojo leidimo duomenys; namų egzemplioriaus leidimas nepatikslintas,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K01405,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,44.0
1398.0,Leonardo da Vinci,Da Vinčio užrašai,,Lietuvių,Jotema,2006.0,Dailė / užrašai,,,9789955131014.0,"Spinta J, 12 niša (dailės albumai)",Gali sutapti su Nr. 909 (angliški „Notebooks“),"H48. Menas, kalbos, pomėgiai",Pasaulio dailės albumai,K01408,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,44.0
1401.0,Giovanni Boccaccio,Decameron,,Italų,BUR Rizzoli,,Klasika,,,,"Spinta J, 13 niša (pasaulio klasika)","BUR, italų k. · daug leidimų; konkretus leidimas neidentifikuotas; kataloge pavadinimas ne lietuviškas, tad leidimas užsienio kalba",A3. Klasikos kanonas (pagal šalis),Italų ir ispanų klasika,K01411,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,48.0
1402.0,Dante Alighieri,Divina Commedia,,Italų,Newton Compton,,Poema,,,,"Spinta J, 13 niša (pasaulio klasika)",Itališkas leidimas (lietuviškas — Nr. 60),A3. Klasikos kanonas (pagal šalis),Italų ir ispanų klasika,K01412,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,48.0
1403.0,Michel de Montaigne,Esė,Essais,Lietuvių,Tyto alba,2011.0,Esė / filosofija,,,9789986168317.0,"Spinta J, 13 niša (pasaulio klasika)",,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K01413,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,48.0
1404.0,Miguel de Cervantes,Don Kichotas (II tomas),Don Quijote,Lietuvių,Tyto alba (?),,Klasika,,,,"Spinta J, 13 niša (pasaulio klasika)",II tomas (I tomas — Nr. 1360),A3. Klasikos kanonas (pagal šalis),Italų ir ispanų klasika,K01414,Lentynoje,,,,,,,,,,,,
1405.0,Vladas Drėma,Raštai / albumai (2 tomai),,Lietuvių,,,Dailėtyra,,,,"Spinta J, 13 niša (pasaulio klasika)",PATIKSLINTI pavadinimus (gali sietis su Nr. 582),"H48. Menas, kalbos, pomėgiai",Lietuvių dailė,K01415,Lentynoje,,,,,,,,,,,,
1406.0,Tomas Venclova,Vilniaus vardai,,Lietuvių,R. Paknio leidykla,2006.0,Istorija / biografijos,,,9789986830962.0,"Spinta J, 13 niša (pasaulio klasika)",,E28. Vilniaus biblioteka,,K01416,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,48.0
1407.0,William Shakespeare,The Illustrated Stratford Shakespeare,,Anglų,Chancellor Press,,Klasika / raštai,,,,"Spinta J, 13 niša (pasaulio klasika)","Visos 37 pjesės, 160 sonetų",A3. Klasikos kanonas (pagal šalis),Anglų klasika,K01417,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,48.0
1408.0,Homeras,Iliada,Ἰλιάς,Lietuvių,Vaga,,Epinė poema,,,,"Spinta J, 13 niša (pasaulio klasika)","keli lietuviški Vagos leidimai (1981 PLB, 2007) – metai nenustatyti",A1. Antikos literatūra ir istorikai,,K01418,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,48.0
1409.0,Ovidijus,Rinktinė,,Lietuvių,,,Poezija,,,,"Spinta J, 13 niša (pasaulio klasika)",PATIKSLINTI pavadinimą (mėlynas apiplyšęs tomas),A1. Antikos literatūra ir istorikai,,K01419,Lentynoje,,,,,,,,,,,,
1410.0,Aristofanas,Paukščiai,Ὄρνιθες,Lietuvių,Klasikų asociacija,2013.0,Komedija,,,9786099558103.0,"Spinta J, 13 niša (pasaulio klasika)",vertė Jonas Dumčius,A1. Antikos literatūra ir istorikai,,K01420,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,48.0
1411.0,Gediminas Vaitkevičius,Vilniaus įkūrimas,,Lietuvių,LNM,2010.0,Istorija / archeologija,,,9786098039061.0,"Spinta J, 14 niša (Vilnius, miestai)",,E28. Vilniaus biblioteka,,K01421,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1412.0,Margarita Matulytė,Czesławo Miłoszo Vilnius,,Lietuvių,Apostrofa,2012.0,Eseistika / istorija,,,9789955605713.0,"Spinta J, 14 niša (Vilnius, miestai)",,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K01422,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1414.0,Betzalel Landau,The Vilna Gaon,,Anglų,Landau (?),1994.0,Istorija / religija,,,9780899064420.0,"Spinta J, 14 niša (Vilnius, miestai)",,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01424,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1415.0,Jurgis Vanagas,"Antakalnis: kilmė, raida, žmonės",,Lietuvių,,2018.0,Istorija / kraštotyra,,,,"Spinta J, 14 niša (Vilnius, miestai)",leidyklos ir ISBN rasti nepavyko,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01425,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1416.0,Jurgis Vanagas,Primirštas Antakalnis,,Lietuvių,,2015.0,Istorija / kraštotyra,,,9786098089455.0,"Spinta J, 14 niša (Vilnius, miestai)",VLE nurodo ir 2016 m. leidimą,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01426,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1417.0,,Vilnius: Traces of the Jerusalem of Lithuania,,Anglų,Balto,,Istorija / gidas,,,,"Spinta J, 14 niša (Vilnius, miestai)",leidinio rasti nepavyko,E28. Vilniaus biblioteka,,K01427,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1418.0,Gabija Lunevičiūtė,Vilniaus atminties punktyrai,,Lietuvių,BALTO leidybos namai,2020.0,Istorija / atmintis,,,9786094870217.0,"Spinta J, 14 niša (Vilnius, miestai)",,E28. Vilniaus biblioteka,,K01428,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1421.0,Tomas Venclova,Vilnius: asmeninė istorija,,Lietuvių,R. Paknio leidykla,2011.0,Eseistika / istorija,,,9789955736356.0,"Spinta J, 14 niša (Vilnius, miestai)",Gali sietis su Nr. 900 (angliškas leidimas),A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos ★ pora: originalas + vertimas,K01431,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1422.0,,Vilnius (geltonas gidas),,Lietuvių,,,Gidas,,,,"Spinta J, 14 niša (Vilnius, miestai)",PATIKSLINTI,E28. Vilniaus biblioteka,,K01432,Lentynoje,,,,,,,,,,,,
1423.0,Ric Burns; James Sanders; Lisa Ades,New York: An Illustrated History,,Anglų,Knopf,,Istorija / albumas,,,,"Spinta J, 14 niša (Vilnius, miestai)","keli leidimai (1999, 2003, 2021) – metai nenustatyti",E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01433,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1426.0,Rainer Zerbst,Gaudí: The Complete Works,,Anglų,Taschen,,Architektūra / albumas,,,,"Spinta J, 14 niša (Vilnius, miestai)",Taschen 40 serija,"H48. Menas, kalbos, pomėgiai",Architektūra ir miestai,K01436,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1427.0,,Vilniaus menas,,Lietuvių,,,Menotyra,,,,"Spinta J, 14 niša (Vilnius, miestai)",Padėta gulsčiai dešinėje,E28. Vilniaus biblioteka,,K01437,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,49.0
1428.0,Lao Tzu,Tao Te Ching,道德經,Anglų,,,Filosofija / religija,,,,"Spinta J, 15 niša (religijotyra)",guli plokščiai ant knygų · daug leidimų; konkretus leidimas neidentifikuotas,D22. Rytų praktikos ir ezoterika,Dzen ir Rytų klasika,K01438,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1429.0,,Sayings of the Buddha,,Anglų,Oxford University Press,,Religija,Oxford World's Classics,,,"Spinta J, 15 niša (religijotyra)","Oxford, guli plokščiai · galimi bent du skirtingi leidiniai (R. Gethin, OUP 2008; W. Wray, Barnes & Noble 2004) – neidentifikuota",D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01439,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1430.0,Kirilas Privalovas (Кирилл Привалов),Секты: досье страха,,Rusų,,,Religijotyra,,,,"Spinta J, 15 niša (religijotyra)",,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01440,Lentynoje,,,,,,,,,,,,
1432.0,Ernest Gellner,"Postmodernizmas, protas ir religija","Postmodernism, Reason and Religion",Lietuvių,ALK,1993.0,Filosofija / religijotyra,,,9986405068.0,"Spinta J, 15 niša (religijotyra)",,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01442,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1433.0,G. P. Aksionovas (Г. П. Аксенов),От христианства до ноосферы,,Rusų,,,Religijotyra / filosofija,,,,"Spinta J, 15 niša (religijotyra)",PATIKSLINTI,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01443,Lentynoje,,,,,,,,,,,,
1437.0,,Krikščioniškasis mokymas,,Lietuvių,Naujasis Židinys-Aidai,,Religija,,,,"Spinta J, 15 niša (religijotyra)",nepavyko patikimai identifikuoti (galimai Aurelijaus Augustino „Krikščioniškasis mokymas“),D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01447,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1438.0,Robert Wright,The Evolution of God,,Anglų,Back Bay Books,2009.0,Religijotyra,,,9780316734912.0,"Spinta J, 15 niša (religijotyra)",,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01448,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1440.0,"Giorgio Montefoschi, Hanna Nikstein","Vienas Dievas, trys tiesos",,Lietuvių,,,Religijotyra,,,,"Spinta J, 15 niša (religijotyra)",PATIKSLINTI autorių,D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01450,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1441.0,Jack Miles,God: A Biography,,Anglų,Vintage,,Religijotyra,,,,"Spinta J, 15 niša (religijotyra)","keli leidimai (1995 Knopf, 1996 Vintage) – neidentifikuota",D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01451,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1443.0,Ilan Pappe,10 mitų apie Izraelį,Ten Myths About Israel,Lietuvių,,,Istorija / politika,,,,"Spinta J, 15 niša (religijotyra)",lietuviško leidimo duomenų rasti nepavyko,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01453,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1444.0,Beatrice Bruteau (sud.),Jesus Through Jewish Eyes,,Anglų,Orbis,,Religijotyra / judaika,,,,"Spinta J, 15 niša (religijotyra)",Orbis · leidinio rasti nepavyko,D21. Religijotyra ir šventraščiai,Judaika,K01454,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1445.0,Morris Goldstein,Jesus in the Jewish Tradition,,Anglų,Macmillan,1950.0,Religijotyra / judaika,,,,"Spinta J, 15 niša (religijotyra)",PATIKSLINTI (Goldstein?),D21. Religijotyra ir šventraščiai,Judaika,K01455,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1447.0,R. G. Price,Deciphering the Gospels,,Anglų,Lulu Publishing Services,2018.0,Religijotyra,,,,"Spinta J, 15 niša (religijotyra)","pakrypusi knyga · kietas ir minkštas viršelis – du ISBN, konkretus nenustatytas",D21. Religijotyra ir šventraščiai,Krikščionybė ir religijotyra,K01457,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,50.0
1449.0,Konfucijus,Pašnekesiai,論語,Lietuvių,Tyto alba,,Filosofija,,,,"Spinta J, 16 niša (Rytų religijos)","greičiausiai „Apmąstymai ir pašnekesiai“; keli leidimai (Pradai 1994, Vaga 2022) – neidentifikuota",D22. Rytų praktikos ir ezoterika,Dzen ir Rytų klasika,K01459,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1450.0,Swami Vivekananda,Selections from the Complete Works of Swami Vivekananda,,Anglų,Advaita Ashrama,2001.0,Religija / hinduizmas,,,9788185301600.0,"Spinta J, 16 niša (Rytų religijos)",leidinys turi daug perspaudų,D22. Rytų praktikos ir ezoterika,Ezoterika ir praktikos,K01460,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1451.0,Bernhard Moestl,Šaolinas,Shaolin,Lietuvių,,,Rytų filosofija,,,,"Spinta J, 16 niša (Rytų religijos)",,D22. Rytų praktikos ir ezoterika,Ezoterika ir praktikos,K01461,Lentynoje,,,,,,,,,,,,
1453.0,Jamada Mumonas Rošis,Dešimt jaučio ganymo paveikslėlių,,Lietuvių,,,Dzenbudizmas,,,,"Spinta J, 16 niša (Rytų religijos)",leidinio rasti nepavyko,D22. Rytų praktikos ir ezoterika,Dzen ir Rytų klasika,K01463,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1455.0,Elena Kurklietytė; Vytautas Bubnys,Slaptingoji prema,,Lietuvių,Santara,2001.0,Dvasingumas / kelionės,,,9789986868187.0,"Spinta J, 16 niša (Rytų religijos)",geraknyga.lt nurodo 2000 m. – galimas kitas leidimas,D22. Rytų praktikos ir ezoterika,Ezoterika ir praktikos,K01465,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1456.0,Šunriu Sudzukis (Сюнрю Судзуки),Rinktinė (dzen),"Zen Mind, Beginner's Mind (?)",Rusų,,,Dzenbudizmas,,,,"Spinta J, 16 niša (Rytų religijos)",PATIKSLINTI pavadinimą,D22. Rytų praktikos ir ezoterika,Dzen ir Rytų klasika,K01466,Lentynoje,,,,,,,,,,,,
1459.0,,Махабхарата: книга о Карне,,Rusų,,,Epas / hinduizmas,,,,"Spinta J, 16 niša (Rytų religijos)",leidinio rasti nepavyko,D21. Religijotyra ir šventraščiai,Rytų religijos,K01469,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1461.0,,The Bhagavad Gita,,Anglų,Oxford (?),,Religija / hinduizmas,,,,"Spinta J, 16 niša (Rytų religijos)",Oxford · daug leidimų; konkretus leidimas neidentifikuotas,D21. Religijotyra ir šventraščiai,Šventraščiai,K01471,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1462.0,,Коран,,Rusų,,,Religija / islamas,,,,"Spinta J, 16 niša (Rytų religijos)",Rusiškas vertimas (lietuviškas — Nr. 924),D21. Religijotyra ir šventraščiai,Šventraščiai ★ pora: originalas + vertimas,K01472,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1463.0,,The Meanings of the Qur'an in English,,Anglų,,,Religija / islamas,,,,"Spinta J, 16 niša (Rytų religijos)","OpenLibrary įrašas be metų, leidyklos ir ISBN",D21. Religijotyra ir šventraščiai,Islamas,K01473,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1464.0,Reza Aslan,No God but God,,Anglų,Random House,,Religijotyra / islamas,,,,"Spinta J, 16 niša (Rytų religijos)",keli leidimai (2005; 2006 papildytas) – metai nenustatyti,D21. Religijotyra ir šventraščiai,Islamas,K01474,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1465.0,Tom Holland,Persian Fire,,Anglų,Abacus,,Istorija,,,,"Spinta J, 16 niša (Rytų religijos)",13 leidimų (2005–2021) – neidentifikuota,E26. Antikos ir viduramžių istorija,,K01475,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,51.0
1467.0,Algimantas Kutas (?),Kuksando,,Lietuvių,,,Rytų praktikos / sveikata,,,,"Spinta J, 16 niša (Rytų religijos)",PATIKSLINTI autorių,D22. Rytų praktikos ir ezoterika,Ezoterika ir praktikos,K01477,Lentynoje,,,,,,,,,,,,
